Average_length.days,Topic
81,SARS-COV-2
132,SARS-COV-2
1106,SARS-COV-2
89,SARS-COV-2
169,SARS-COV-2
49,SARS-COV-2
152,SARS-COV-2
37,SARS-COV-2
68,SARS-COV-2
81,SARS-COV-2
72,SARS-COV-2
109,SARS-COV-2
106,SARS-COV-2
76,SARS-COV-2
39,SARS-COV-2
36,SARS-COV-2
49,SARS-COV-2
104,SARS-COV-2
128,SARS-COV-2
84,SARS-COV-2
85,SARS-COV-2
28,SARS-COV-2
88,SARS-COV-2
30,SARS-COV-2
71,SARS-COV-2
69,SARS-COV-2
87,SARS-COV-2
48,SARS-COV-2
415,SARS-COV-2
47,SARS-COV-2
40,SARS-COV-2
47,SARS-COV-2
66,SARS-COV-2
18,SARS-COV-2
36,SARS-COV-2
69,SARS-COV-2
42,SARS-COV-2
55,SARS-COV-2
82,SARS-COV-2
72,SARS-COV-2
64,SARS-COV-2
30,SARS-COV-2
52,SARS-COV-2
29,SARS-COV-2
33,SARS-COV-2
39,SARS-COV-2
644,Metastasis
295,Metastasis
618,Metastasis
665,Metastasis
915,Metastasis
450,Metastasis
232,Metastasis
430,Metastasis
187,Metastasis
445,Metastasis
522,Metastasis
132,Metastasis
281,Metastasis
298,Metastasis
214,Metastasis
198,Metastasis
252,Metastasis
387,Metastasis
156,Metastasis
408,Metastasis
515,Metastasis
193,Chromosome
295,Chromosome
278,Chromosome
280,Chromosome
223,Chromosome
425,Chromosome
220,Chromosome
483,Chromosome
623,Chromosome
337,Chromosome
311,Chromosome
621,Chromosome
277,Chromosome
326,Chromosome
149,Chromosome
87,Chromosome
118,Chromosome
505,Chromosome
312,Chromosome
254,Chromosome
210,Chromosome
254,Chromosome
154,Chromosome
197,Chromosome
123,Chromosome
229,Chromosome
139,Chromosome
445,Chromosome
350,Chromosome
259,Chromosome
362,Chromosome
489,Chromosome
304,Chromosome
122,Chromosome
129,Chromosome
172,Chromosome
424,Chromosome
506,Chromosome
212,Chromosome
187,Chromosome
430,Chromosome
355,Chromosome
315,Chromosome
198,Chromosome
318,Chromosome
418,Chromosome
220,Chromosome
103,Crystal_structure
327,Crystal_structure
109,Crystal_structure
812,Crystal_structure
162,Crystal_structure
91,Crystal_structure
194,Crystal_structure
299,Crystal_structure
319,Crystal_structure
621,Crystal_structure
116,Crystal_structure
226,Crystal_structure
81,Crystal_structure
393,Crystal_structure
158,Crystal_structure
492,Crystal_structure
103,Crystal_structure
78,Crystal_structure
299,Crystal_structure
279,Crystal_structure
276,Crystal_structure
841,Crystal_structure
279,Crystal_structure
321,Crystal_structure
263,Crystal_structure
114,Crystal_structure
97,Crystal_structure
206,Crystal_structure
172,Crystal_structure
174,Crystal_structure
70,Crystal_structure
128,Crystal_structure
119,Crystal_structure
172,Crystal_structure
531,Crystal_structure
139,Crystal_structure
231,Crystal_structure
298,Crystal_structure
97,Crystal_structure
51,Crystal_structure
298,Crystal_structure
187,Crystal_structure
248,Crystal_structure
100,Crystal_structure
651,Crystal_structure
237,Crystal_structure
142,Crystal_structure
562,Crystal_structure
117,Crystal_structure
135,Crystal_structure